ApplicantID,Gender,Age,Income,LoanAmount,Approved
1001,Male,59,97121,400804,No
1002,Male,49,99479,234633,No
1003,Female,35,119475,388998,No
1004,Male,28,49457,426649,No
1005,Male,41,96557,204488,Yes
1006,Male,59,107189,283323,No
1007,Male,39,108953,384806,No
1008,Male,43,82995,370536,Yes
1009,Female,31,70757,130535,No
1010,Male,31,39692,475713,Yes
1011,Male,44,75758,414400,Yes
1012,Male,56,102409,451279,Yes
1013,Male,44,101211,489622,Yes
1014,Male,23,95697,397366,No
1015,Male,42,67065,177373,No
1016,Male,22,62606,223684,No
1017,Female,44,41534,373109,Yes
1018,Male,50,70397,124538,No
1019,Female,58,31016,470210,Yes
1020,Female,22,119789,301664,Yes
1021,Male,41,85591,475396,Yes
1022,Male,53,119812,239182,No
1023,Female,32,53247,258338,No
1024,Female,42,54300,284064,No
1025,Female,45,104065,314020,Yes
1026,Male,47,112798,198806,Yes
1027,Male,48,39268,473133,No
1028,Female,36,116807,190982,Yes
1029,Male,35,42185,221626,No
1030,Male,23,93704,219176,No
1031,Female,57,116779,493422,No
1032,Male,27,69099,318126,Yes
1033,Female,41,38571,318969,No
1034,Female,29,68044,222409,Yes
1035,Female,59,81214,123419,Yes
1036,Male,38,91228,353618,No
1037,Female,24,78984,345310,No
1038,Male,45,70774,150015,No
1039,Female,34,32568,348550,No
1040,Male,29,92592,222096,Yes
1041,Female,46,97563,207059,Yes
1042,Female,22,32695,285340,No
1043,Male,40,78190,210687,Yes
1044,Male,48,35258,450083,Yes
1045,Male,27,117538,311428,Yes
1046,Male,28,69504,205878,Yes
1047,Female,55,63159,302982,Yes
1048,Male,34,43986,298286,No
1049,Male,37,91858,349002,Yes
1050,Male,56,42666,350396,No
